Filename,Year,Month,Date,Description,Type of Notice,Number of Repos Affected
2021-03-02-geeksforgeeks.md,2021,03,02,geeksforgeeks.md,takedown,88
2021-03-02-gerdau.md,2021,03,02,gerdau.md,takedown,1
2021-03-02-holy-bard.md,2021,03,02,holy-bard.md,takedown,1
2021-03-02-meetenhancement.md,2021,03,02,meetenhancement.md,takedown,1
2021-03-02-onetrust.md,2021,03,02,onetrust.md,takedown,1
2021-03-02-packt-2.md,2021,03,02,packt-2.md,takedown,55
2021-03-02-packt.md,2021,03,02,packt.md,takedown,112
2021-03-02-softhealer.md,2021,03,02,softhealer.md,takedown,4
2021-03-02-sportunity.md,2021,03,02,sportunity.md,takedown,13
2021-03-02-tech-mahindra.md,2021,03,02,tech-mahindra.md,takedown,1
2021-03-02-timcellular.md,2021,03,02,timcellular.md,takedown,1
2021-03-02-yunmel.md,2021,03,02,yunmel.md,takedown,3
2021-03-03-bestbuy.md,2021,03,03,bestbuy.md,takedown,1
2021-03-03-doudeka.md,2021,03,03,doudeka.md,takedown,8
2021-03-03-geeksforgeeks.md,2021,03,03,geeksforgeeks.md,takedown,1
2021-03-03-kohls.md,2021,03,03,kohls.md,takedown,1
2021-03-03-logo.md,2021,03,03,logo.md,takedown,1
2021-03-03-medi2data.md,2021,03,03,medi2data.md,takedown,1
2021-03-03-mie1624.md,2021,03,03,mie1624.md,takedown,1
2021-03-03-neyrokod.md,2021,03,03,neyrokod.md,takedown,1
2021-03-03-sngine.md,2021,03,03,sngine.md,takedown,1
2021-03-03-xb-software-npm.md,2021,03,03,xb-software-npm.md,takedown,1
2021-03-04-curvy-splines.md,2021,03,04,curvy-splines.md,takedown,1
2021-03-04-dassolutions.md,2021,03,04,dassolutions.md,takedown,1
2021-03-04-gridspace.md,2021,03,04,gridspace.md,takedown,1
2021-03-04-inspireui.md,2021,03,04,inspireui.md,takedown,11
2021-03-04-maskphish.md,2021,03,04,maskphish.md,takedown,2
2021-03-04-mmd4mecanim-2.md,2021,03,04,mmd4mecanim-2.md,takedown,1
2021-03-04-mmd4mecanim.md,2021,03,04,mmd4mecanim.md,takedown,1
2021-03-04-sensetime.md,2021,03,04,sensetime.md,takedown,1
2021-03-04-tombstone.md,2021,03,04,tombstone.md,takedown,1
2021-03-04-uhc-core-counternotice.md,2021,03,04,uhc-core-counternotice.md,counternotice,1
2021-03-04-wildfirechat.md,2021,03,04,wildfirechat.md,takedown,3
